mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,labels
0.8155882352941176,0.050586632156541016,0.043191750876180234,0,0.0,0,0.0,0.043283224232952146,0.8199999999999998,0.18000000000000016,0.0530699467695771,0.0620247202784852,73831.5551680351,82191.78082191781,65934.06593406592,4413.902169542256,0.0,0.0,,,,0.0,0.0,0
0.8444117647058824,0.053264738363585425,0.049745445771448224,0,0.0,0,0.0,0.050621141828292415,0.8599999999999994,0.1650000000000027,0.059948408992056494,0.06307910499344843,71331.79455923852,80536.91275167813,65934.06593406592,4523.8322464681705,0.0,0.0,,,,0.0,0.0,0
0.8538235294117648,0.0362512677263112,0.037117844428252826,0,0.0,0,0.0,0.037374790969314856,0.8500000000000014,0.125,0.04377343758032053,0.04245756468117743,70390.68355774938,75471.69811320739,65217.39130434771,2880.9692842668615,0.0,0.0,,,,0.0,0.0,0
0.8414705882352941,0.026325172475832583,0.03467342056604695,0,0.0,0,0.0,0.03470860844228658,0.8350000000000009,0.09499999999999886,0.0412475598405363,0.03128472087306214,71368.9173287274,75000.00000000026,67039.10614525169,2148.570309699874,0.0,0.0,,,,0.0,0.0,0
0.8608823529411768,0.034060391866765884,0.03777891070094575,0,0.0,0,0.0,0.03781120865563587,0.8599999999999994,0.1150000000000091,0.04392145863654319,0.039564513955245635,69797.7631678624,74074.07407407387,64864.86486486407,2655.071218267438,0.0,0.0,,,,0.0,0.0,0
0.831764705882353,0.023713206794326726,0.029018784325842862,0,0.0,0,0.0,0.029020466915606002,0.8250000000000028,0.08500000000000796,0.03489023603715007,0.02850951311906325,72191.80106396045,76923.0769230768,69364.16184971025,2026.349569642264,0.0,0.0,,,,0.0,0.0,0
0.8147058823529408,0.020269326289625047,0.02364285039922098,0,0.0,0,0.0,0.023848480035422434,0.8100000000000023,0.06499999999999773,0.029272502570554623,0.024879317467409814,73688.54085524185,75949.36708860699,70175.4385964909,1754.1801790785503,0.0,0.0,,,,0.0,0.0,0
0.8182352941176468,0.022634402498642122,0.03035596111144894,0,0.0,0,0.0,0.03041381265148782,0.8100000000000023,0.08499999999999375,0.037170008272846375,0.027662461716528843,73379.88622545183,75471.69811320739,68181.81818181854,1914.4414163569538,0.0,0.0,,,,0.0,0.0,0
0.8488235294117651,0.0592011774525204,0.04320983503497984,0,0.0,0,0.0,0.04353518691817192,0.855000000000004,0.18000000000000682,0.051288854997153306,0.06974497690179116,71012.96360638882,78947.36842105357,63829.787234042706,4839.32533693985,0.0,0.0,,,,0.0,0.0,0
0.7823529411764696,0.04569319037951785,0.019422824041571814,0,0.0,0,0.0,0.020501524333567857,0.7649999999999864,0.13999999999998636,0.02620495591508677,0.05840482980840635,76929.02798277549,81632.65306122297,68571.42857142857,4192.007511380211,0.0,0.0,,,,0.0,0.0,0
0.8150000000000011,0.01879162047296606,0.02397712125652459,0,0.0,0,0.0,0.02407670035532449,0.8200000000000216,0.05500000000000682,0.029541963626164982,0.023057203034314154,73657.11007398079,76923.0769230768,71856.28742514901,1675.7511250263835,0.0,0.0,,,,0.0,0.0,0
0.828823529411765,0.02381762817252642,0.032474449090785486,0,0.0,0,0.0,0.032475952641916724,0.8249999999999886,0.08500000000000796,0.03918319339337006,0.02873666990297722,72448.17776892171,76923.0769230768,69364.16184971025,2024.5951888593772,0.0,0.0,,,,0.0,0.0,0
0.8349999999999996,0.022220486043287947,0.02749999999999501,0,0.0,0,0.0,0.02749999999999501,0.835000000000008,0.07499999999998863,0.03293413173652099,0.026611360530883782,71904.1014808108,74999.99999999894,68571.42857142857,1852.748524932596,0.0,0.0,,,,0.0,0.0,0
0.8050000000000002,0.012990381056763655,0.01580829983741929,0,0.0,0,0.0,0.015958931668496795,0.8049999999999784,0.03999999999999204,0.01982475983664198,0.016137119325172238,74552.42363416425,76433.12101910861,72727.27272727372,1166.6041873039446,0.0,0.0,,,,0.0,0.0,0
0.8344117647058825,0.036652180739231335,0.02697655231863606,0,0.0,0,0.0,0.027556759606312764,0.825000000000017,0.1349999999999909,0.03302537280982142,0.0439257717706685,72034.75851138313,76923.0769230768,65573.77049180385,3003.076234660683,0.0,0.0,,,,0.0,0.0,0
0.8364705882352941,0.029249182995125002,0.02230602146842885,0,0.0,0,0.0,0.023082731640774404,0.8300000000000125,0.1150000000000091,0.027595389443963777,0.03496737770162624,71812.23531296298,76923.0769230768,67039.10614525063,2427.62033312366,0.0,0.0,,,,0.0,0.0,0
0.8229411764705887,0.026812941344239397,0.021810171795526287,0,0.0,0,0.0,0.02218529918663221,0.8249999999999886,0.09499999999999886,0.026958547975178507,0.03258184437827516,72982.24864167871,76923.0769230768,68571.42857142857,2311.6601928391524,0.0,0.0,,,,0.0,0.0,0
0.8717647058823526,0.12391959561131083,0.05875997255785611,0,0.0,0,0.0,0.061491869381244624,0.8149999999999977,0.3550000000000182,0.07053723208374893,0.1421479841695199,70053.50122141968,81632.65306122613,55045.871559632855,8939.382311422287,0.0,0.0,,,,0.0,0.0,0
0.8752941176470586,0.08827284740074184,0.058869559196569825,0,0.0,0,0.0,0.06141559248267905,0.8999999999999773,0.28000000000002956,0.07016566345467366,0.10084935522934219,69200.10384824792,78947.36842105357,57692.30769230656,6689.665029079434,0.0,0.0,,,,0.0,0.0,0
